                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.807,                 2.7598,                 1.4483,                0.18421,                0.18103,                0.17173,                0.10948,                 1.5499,                 53.998,                  1.558,                 0.0905,                 0.0005,                 0.0005
                      2,                 1.5618,                 2.0287,                 1.3335,                 0.0809,                 0.2564,                0.11884,                 0.0551,                 1.5509,                 129.18,                  1.604,                0.08004,              0.0010396,              0.0010396
                      3,                 1.5976,                 1.7511,                 1.3094,                0.04625,                0.49333,                0.06032,                0.02719,                 2.0458,                 175.44,                 2.3998,               0.069568,              0.0015683,              0.0015683
                      4,                 1.5271,                 1.3888,                 1.2751,                0.00568,                0.37375,                0.00697,                0.00399,                 2.3099,                  734.6,                 2.8718,               0.059086,              0.0020861,              0.0020861
                      5,                 1.5655,                 1.4453,                  1.285,                0.00287,                0.13765,                0.00164,                0.00064,                 3.5176,                 272.28,                 5.5393,               0.048593,              0.0025931,              0.0025931
                      1,                 1.7936,                 2.8246,                 1.4941,                0.28912,                 0.2881,                0.23681,                0.12229,                 1.7572,                 9.8918,                 1.5824,                0.09005,                  5e-05,                  5e-05
                      2,                 1.4815,                 1.7438,                 1.3017,                0.38706,                0.63181,                0.52165,                0.27451,                 1.7022,                 2.5884,                 1.4935,               0.079104,             0.00010396,             0.00010396
                      3,                 1.4608,                 1.5418,                 1.2225,                0.69655,                0.55339,                0.63828,                0.35517,                 1.7001,                 1.7788,                 1.4643,               0.068157,             0.00015683,             0.00015683
                      4,                 1.3432,                 1.2823,                 1.1377,                 0.6608,                0.73591,                0.76004,                0.40398,                 1.6445,                 1.4565,                 1.3872,               0.057209,             0.00020861,             0.00020861
                      5,                 1.3294,                 1.2275,                 1.1352,                0.78198,                0.61525,                0.75645,                0.39143,                 1.5829,                 1.6818,                 1.3911,               0.046259,             0.00025931,             0.00025931
                      6,                 1.2555,                 1.1068,                 1.1248,                0.76841,                0.70078,                0.81234,                0.43726,                 1.5064,                 1.1463,                 1.3217,               0.035309,             0.00030891,             0.00030891
                      7,                 1.2682,                 1.0599,                 1.1119,                0.69423,                 0.7094,                0.74708,                0.37374,                 1.5873,                 1.1736,                 1.2917,               0.024357,             0.00035743,             0.00035743
                      8,                 1.2432,                 1.0104,                 1.0981,                0.81453,                0.79209,                0.85334,                0.46088,                 1.5258,                 1.3118,                 1.3049,               0.013405,             0.00040485,             0.00040485
                      9,                 1.1946,                0.91444,                 1.1135,                0.85871,                0.73471,                0.84921,                0.45474,                 1.5436,                 1.0488,                 1.3477,              0.0024512,             0.00045119,             0.00045119
                     10,                 1.2079,                0.91488,                 1.1076,                0.75872,                0.79517,                 0.8892,                0.49707,                 1.4437,                 1.1023,                 1.3494,             0.00045545,             0.00045545,             0.00045545
                     11,                 1.2188,                0.91492,                 1.1126,                0.77954,                0.77829,                0.83848,                0.48376,                  1.474,                 1.0219,                 1.3431,             0.00045545,             0.00045545,             0.00045545
                     12,                 1.1033,                0.84926,                 1.0422,                0.73905,                0.77189,                0.83374,                0.48178,                 1.4439,                 1.0603,                 1.2931,              0.0004505,              0.0004505,              0.0004505
                     13,                 1.1151,                0.84602,                 1.0265,                0.79058,                0.77736,                0.85326,                0.47241,                 1.5264,                 1.0212,                 1.3477,             0.00044555,             0.00044555,             0.00044555
                     14,                 1.0792,                0.76848,                 1.0291,                0.73202,                0.83211,                0.87778,                0.47706,                 1.6089,                 1.0347,                 1.4451,              0.0004406,              0.0004406,              0.0004406
                     15,                 1.0963,                 0.7993,                 1.0366,                0.79859,                 0.8832,                0.87837,                0.46608,                 1.5861,                0.91767,                 1.3956,             0.00043565,             0.00043565,             0.00043565
