                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6872,                  3.452,                 1.3954,                0.00266,                0.46825,                0.13562,                0.06858,                 2.1862,                 4.4782,                   1.62,                0.09005,                  5e-05,                  5e-05
                      2,                 1.5015,                 2.5139,                 1.2398,                 0.0027,                0.47619,                0.18823,                0.10783,                 2.0788,                 3.5696,                 1.6487,               0.079104,             0.00010396,             0.00010396
                      3,                 1.4786,                 2.1393,                  1.222,                0.02965,                 0.9004,                0.34512,                0.20219,                 1.7205,                 3.3137,                 1.4425,               0.068157,             0.00015683,             0.00015683
                      4,                 1.4351,                 1.8497,                 1.1891,                0.03753,                0.90833,                0.40348,                0.24742,                  1.466,                 3.3038,                 1.2906,               0.057209,             0.00020861,             0.00020861
                      5,                 1.3312,                 1.5847,                 1.1299,                0.05763,                0.89167,                0.50435,                0.31609,                 1.5898,                 2.9545,                 1.3886,               0.046259,             0.00025931,             0.00025931
                      6,                 1.2888,                 1.4436,                 1.1578,                0.70849,                0.16706,                0.51525,                0.33847,                 1.4163,                 2.5926,                 1.2922,               0.035309,             0.00030891,             0.00030891
                      7,                 1.3343,                 1.4244,                 1.1312,                0.79101,                0.17006,                0.52858,                0.31905,                 1.6695,                 2.4691,                 1.4332,               0.024357,             0.00035743,             0.00035743
                      8,                 1.2962,                 1.3607,                 1.1299,                0.62603,                 0.4881,                0.60044,                0.38559,                 1.4346,                 1.8263,                 1.3381,               0.013405,             0.00040485,             0.00040485
                      9,                  1.216,                  1.364,                 1.1417,                0.41288,                0.53532,                0.57347,                0.38658,                 1.3018,                 1.5457,                 1.2699,              0.0024512,             0.00045119,             0.00045119
                     10,                 1.2446,                 1.2806,                  1.106,                0.59532,                0.62059,                0.67747,                0.43978,                 1.4475,                 1.4049,                 1.3451,             0.00045545,             0.00045545,             0.00045545
                     11,                 1.2451,                 1.2456,                 1.1148,                0.55951,                0.66739,                0.65935,                0.42422,                 1.2305,                 1.3172,                  1.198,             0.00045545,             0.00045545,             0.00045545
                     12,                 1.1678,                 1.1841,                 1.0671,                0.60669,                0.62264,                0.68236,                0.43995,                  1.242,                 1.3013,                 1.2177,              0.0004505,              0.0004505,              0.0004505
                     13,                 1.2511,                 1.2416,                 1.0773,                0.82818,                0.57976,                0.73727,                0.48122,                 1.3687,                 1.2355,                 1.2424,             0.00044555,             0.00044555,             0.00044555
                     14,                 1.1997,                 1.1491,                 1.0722,                0.79057,                0.60357,                0.75323,                0.49887,                 1.3201,                 1.2428,                  1.224,              0.0004406,              0.0004406,              0.0004406
                     15,                 1.2057,                 1.1084,                  1.081,                 0.6482,                0.66944,                0.73833,                0.48461,                 1.2179,                 1.1654,                  1.175,             0.00043565,             0.00043565,             0.00043565
                     16,                 1.1827,                 1.1168,                 1.0515,                0.76929,                0.66309,                0.76836,                 0.5009,                 1.3499,                 1.1532,                 1.2048,              0.0004307,              0.0004307,              0.0004307
                     17,                  1.167,                 1.0983,                 1.0338,                0.71762,                0.69563,                0.76983,                0.48769,                 1.4261,                 1.1494,                 1.2439,             0.00042575,             0.00042575,             0.00042575
                     18,                 1.1479,                 1.0447,                  1.039,                0.67693,                0.67009,                0.75742,                0.49899,                 1.3014,                 1.1145,                 1.1856,              0.0004208,              0.0004208,              0.0004208
                     19,                 1.1398,                 1.0117,                 1.0215,                0.75458,                0.71719,                  0.798,                0.53544,                 1.2682,                 1.0796,                 1.1792,             0.00041585,             0.00041585,             0.00041585
                     20,                 1.0702,                0.97294,                 1.0244,                0.74604,                0.72098,                 0.8026,                0.54114,                 1.2196,                 1.0653,                 1.1468,              0.0004109,              0.0004109,              0.0004109
                     21,                 1.0726,                0.96147,                 1.0018,                0.72306,                 0.7381,                0.80273,                0.54156,                  1.213,                 1.0586,                 1.1449,             0.00040595,             0.00040595,             0.00040595
                     22,                 1.0794,                0.94781,                 1.0346,                0.75357,                0.69008,                0.79648,                0.52595,                 1.2846,                 1.0919,                 1.1687,               0.000401,               0.000401,               0.000401
                     23,                  1.033,                0.91115,                0.99666,                 0.7615,                 0.7627,                0.82119,                0.54855,                 1.2129,                 1.0555,                 1.1306,             0.00039605,             0.00039605,             0.00039605
                     24,                  1.052,                0.90715,                0.99032,                0.70006,                0.75532,                0.81026,                0.53236,                 1.2157,                 1.0004,                 1.1193,              0.0003911,              0.0003911,              0.0003911
                     25,                 1.0679,                0.93721,                 1.0279,                0.73356,                0.68849,                0.78579,                0.50769,                 1.2634,                 1.0322,                 1.1399,             0.00038615,             0.00038615,             0.00038615
                     26,                 1.0627,                0.92095,                 1.0079,                0.81654,                0.71389,                0.81415,                 0.5245,                 1.3091,                 1.0741,                  1.155,              0.0003812,              0.0003812,              0.0003812
                     27,                 1.0743,                0.92321,                 1.0098,                0.76508,                0.73357,                0.82717,                0.54338,                 1.2749,                 1.0515,                 1.1463,             0.00037625,             0.00037625,             0.00037625
