                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8864,                 3.3837,                 1.4437,                0.00261,                    0.5,                0.17179,                0.09699,                 1.8359,                 3.6813,                 1.5542,                 0.0905,                 0.0005,                 0.0005
                      2,                  1.743,                 2.2158,                 1.3519,                0.01129,                0.95745,                0.24213,                0.11518,                 1.9005,                 3.5447,                 1.5753,                0.08004,              0.0010396,              0.0010396
                      3,                 1.7442,                   1.99,                 1.3295,                0.07236,                0.89766,                0.27473,                0.11673,                 2.0042,                 3.2048,                 1.6853,               0.069568,              0.0015683,              0.0015683
                      4,                 1.6675,                 1.6938,                 1.3034,                0.05307,                0.75501,                0.23709,                0.11837,                 2.1696,                 3.4819,                 1.7769,               0.059086,              0.0020861,              0.0020861
                      5,                  1.694,                 1.6629,                 1.2617,                0.58877,                0.13305,                0.23174,                0.10274,                 2.1831,                 3.6937,                 1.8741,               0.048593,              0.0025931,              0.0025931
                      6,                 1.6521,                 1.5398,                 1.2966,                0.58227,                 0.1891,                0.26913,                0.14883,                 2.0447,                 2.9724,                 1.7901,               0.038089,              0.0030891,              0.0030891
                      7,                 1.6042,                  1.451,                  1.227,                0.45115,                  0.146,                 0.2917,                0.15743,                 2.0093,                 3.2084,                 1.9251,               0.027574,              0.0035743,              0.0035743
                      8,                 1.6122,                 1.4286,                 1.2526,                0.47064,                0.20076,                0.26253,                0.13527,                 2.0179,                 2.8366,                 1.7756,               0.017049,              0.0040485,              0.0040485
                      9,                 1.5449,                 1.4246,                 1.2749,                0.45074,                 0.3871,                0.37186,                0.20256,                 1.6769,                 2.1772,                  1.551,              0.0065119,              0.0045119,              0.0045119
                     10,                 1.5377,                 1.3753,                 1.2217,                0.46908,                0.46635,                0.36899,                0.17935,                 1.7977,                 2.1782,                 1.5469,              0.0045545,              0.0045545,              0.0045545
                     11,                  1.599,                 1.3776,                 1.2663,                0.51617,                0.42909,                0.42397,                  0.215,                 1.6234,                 2.0079,                 1.5413,              0.0045545,              0.0045545,              0.0045545
                     12,                 1.5047,                 1.3214,                 1.2137,                0.65684,                0.37926,                0.49091,                0.29959,                 1.5232,                 1.9529,                 1.3926,               0.004505,               0.004505,               0.004505
                     13,                 1.4998,                 1.2716,                 1.1713,                0.70959,                0.35347,                0.46914,                0.25609,                 1.6454,                 2.3074,                 1.4192,              0.0044555,              0.0044555,              0.0044555
                     14,                 1.4485,                 1.2203,                 1.1717,                0.49819,                0.44271,                0.44699,                0.25277,                 1.5497,                 2.4768,                 1.3959,               0.004406,               0.004406,               0.004406
                     15,                 1.5248,                 1.2516,                 1.1966,                0.46476,                0.53142,                0.50752,                0.27644,                 1.5434,                 2.1414,                 1.3787,              0.0043565,              0.0043565,              0.0043565
                      1,                 1.8864,                 3.3837,                 1.4437,                0.00261,                    0.5,                0.17179,                0.09699,                 1.8359,                 3.6813,                 1.5542,                 0.0905,                 0.0005,                 0.0005
                      1,                 1.8864,                 3.3837,                 1.4437,                 0.0025,                0.36207,                0.12474,                0.06947,                 1.8359,                 3.6813,                 1.5542,                 0.0905,                 0.0005,                 0.0005
                      2,                  1.743,                 2.2158,                 1.3519,                0.01129,                0.95745,                0.24213,                0.11518,                 1.9005,                 3.5447,                 1.5753,                0.08004,              0.0010396,              0.0010396
                      3,                 1.7442,                   1.99,                 1.3295,                0.07236,                0.89766,                0.27473,                0.11673,                 2.0042,                 3.2048,                 1.6853,               0.069568,              0.0015683,              0.0015683
                      4,                 1.6675,                 1.6938,                 1.3034,                0.05307,                0.75501,                0.23709,                0.11837,                 2.1696,                 3.4819,                 1.7769,               0.059086,              0.0020861,              0.0020861
                      5,                  1.694,                 1.6629,                 1.2617,                0.58877,                0.13305,                0.23174,                0.10274,                 2.1831,                 3.6937,                 1.8741,               0.048593,              0.0025931,              0.0025931
                      6,                 1.6521,                 1.5398,                 1.2966,                0.58227,                 0.1891,                0.26913,                0.14883,                 2.0447,                 2.9724,                 1.7901,               0.038089,              0.0030891,              0.0030891
                      7,                 1.6042,                  1.451,                  1.227,                0.45115,                  0.146,                 0.2917,                0.15743,                 2.0093,                 3.2084,                 1.9251,               0.027574,              0.0035743,              0.0035743
                      8,                 1.6122,                 1.4286,                 1.2526,                0.47064,                0.20076,                0.26253,                0.13527,                 2.0179,                 2.8366,                 1.7756,               0.017049,              0.0040485,              0.0040485
                      9,                 1.5449,                 1.4246,                 1.2749,                0.45074,                 0.3871,                0.37186,                0.20256,                 1.6769,                 2.1772,                  1.551,              0.0065119,              0.0045119,              0.0045119
                     10,                 1.5377,                 1.3753,                 1.2217,                0.46908,                0.46635,                0.36899,                0.17935,                 1.7977,                 2.1782,                 1.5469,              0.0045545,              0.0045545,              0.0045545
                     11,                  1.599,                 1.3776,                 1.2663,                0.51617,                0.42909,                0.42397,                  0.215,                 1.6234,                 2.0079,                 1.5413,              0.0045545,              0.0045545,              0.0045545
                     12,                 1.5047,                 1.3214,                 1.2137,                0.65684,                0.37926,                0.49091,                0.29959,                 1.5232,                 1.9529,                 1.3926,               0.004505,               0.004505,               0.004505
                     13,                 1.4998,                 1.2716,                 1.1713,                0.70959,                0.35347,                0.46914,                0.25609,                 1.6454,                 2.3074,                 1.4192,              0.0044555,              0.0044555,              0.0044555
                     14,                 1.4485,                 1.2203,                 1.1717,                0.49819,                0.44271,                0.44699,                0.25277,                 1.5497,                 2.4768,                 1.3959,               0.004406,               0.004406,               0.004406
                     15,                 1.5248,                 1.2516,                 1.1966,                0.46476,                0.53142,                0.50752,                0.27644,                 1.5434,                 2.1414,                 1.3787,              0.0043565,              0.0043565,              0.0043565
                     16,                 1.4896,                 1.2551,                  1.183,                0.71324,                0.52558,                0.61094,                0.35114,                 1.4614,                 1.9182,                  1.304,               0.004307,               0.004307,               0.004307
