                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5621,                 4.0788,                 1.3443,                0.00228,                    0.5,                0.02163,                0.01947,                 1.0127,                 3.9476,                 1.1373,                    0.1,                      0,                      0
                      2,                0.95839,                 4.0273,                 1.0453,                0.00254,                    0.5,                0.04975,                0.04975,                0.95757,                 3.5735,                 1.0804,               0.099001,                6.7e-07,                6.7e-07
                      3,                0.80821,                 3.2882,                 1.1223,                0.01218,                    0.5,                0.24875,                0.22387,                 0.8787,                  3.402,                 1.0047,               0.098001,                6.8e-07,                6.8e-07
                      1,                 1.5621,                 4.0788,                 1.3443,                0.00228,                    0.5,                0.02163,                0.01947,                 1.0127,                 3.9476,                 1.1373,                    0.1,                      0,                      0
                      2,                0.95839,                 4.0273,                 1.0453,                0.00254,                    0.5,                0.04975,                0.04975,                0.95757,                 3.5735,                 1.0804,               0.099001,                6.7e-07,                6.7e-07
                      3,                0.80821,                 3.2882,                 1.1223,                0.01218,                    0.5,                0.24875,                0.22387,                 0.8787,                  3.402,                 1.0047,               0.098001,                6.8e-07,                6.8e-07
                      1,                 1.5621,                 4.0788,                 1.3443,                0.00228,                    0.5,                0.02163,                0.01947,                 1.0127,                 3.9476,                 1.1373,                    0.1,                      0,                      0
                      2,                0.95839,                 4.0273,                 1.0453,                0.00254,                    0.5,                0.04975,                0.04975,                0.95757,                 3.5735,                 1.0804,               0.099001,                6.7e-07,                6.7e-07
                      3,                0.80821,                 3.2882,                 1.1223,                0.01218,                    0.5,                0.24875,                0.22387,                 0.8787,                  3.402,                 1.0047,               0.098001,                6.8e-07,                6.8e-07
                      1,                 1.5621,                 4.0788,                 1.3443,                0.00228,                    0.5,                0.02163,                0.01947,                 1.0127,                 3.9476,                 1.1373,                    0.1,                      0,                      0
                      2,                0.95839,                 4.0273,                 1.0453,                0.00254,                    0.5,                0.04975,                0.04975,                0.95757,                 3.5735,                 1.0804,               0.099001,                6.7e-07,                6.7e-07
                      3,                0.80821,                 3.2882,                 1.1223,                0.01218,                    0.5,                0.24875,                0.22387,                 0.8787,                  3.402,                 1.0047,               0.098001,                6.8e-07,                6.8e-07
                      1,                 1.5621,                 4.0788,                 1.3443,                0.00228,                    0.5,                0.02163,                0.01947,                 1.0127,                 3.9476,                 1.1373,                    0.1,                      0,                      0
                      2,                0.95839,                 4.0273,                 1.0453,                0.00254,                    0.5,                0.04975,                0.04975,                0.95757,                 3.5735,                 1.0804,               0.099001,                6.7e-07,                6.7e-07
                      3,                0.80821,                 3.2882,                 1.1223,                0.01218,                    0.5,                0.24875,                0.22387,                 0.8787,                  3.402,                 1.0047,               0.098001,                6.8e-07,                6.8e-07
                      1,                 1.5621,                 4.0788,                 1.3443,                0.00228,                    0.5,                0.02163,                0.01947,                 1.0127,                 3.9476,                 1.1373,                    0.1,                      0,                      0
                      2,                0.95839,                 4.0273,                 1.0453,                0.00254,                    0.5,                0.04975,                0.04975,                0.95757,                 3.5735,                 1.0804,               0.099001,                6.7e-07,                6.7e-07
                      3,                0.80821,                 3.2882,                 1.1223,                0.01218,                    0.5,                0.24875,                0.22387,                 0.8787,                  3.402,                 1.0047,               0.098001,                6.8e-07,                6.8e-07
                      1,                 1.5621,                 4.0788,                 1.3443,                0.00228,                    0.5,                0.02163,                0.01947,                 1.0127,                 3.9476,                 1.1373,                    0.1,                      0,                      0
                      2,                0.95839,                 4.0273,                 1.0453,                0.00254,                    0.5,                0.04975,                0.04975,                0.95757,                 3.5735,                 1.0804,               0.099001,                6.7e-07,                6.7e-07
                      3,                0.80821,                 3.2882,                 1.1223,                0.01218,                    0.5,                0.24875,                0.22387,                 0.8787,                  3.402,                 1.0047,               0.098001,                6.8e-07,                6.8e-07
